Facility Name,Sports,Latitude,Longitude,Activity Type,activities
Carmichael Rd Pg,Running/Jogging/Walking,1.342681439241684,103.86300718141766,Outdoor,Running/Jogging/Walking
Taman Permata Pk,Running/Jogging/Walking,1.3500656010895002,103.83498979568336,Outdoor,Running/Jogging/Walking
Chuan Lane Park,Running/Jogging/Walking,1.3517560673798326,103.85808296065588,Outdoor,Running/Jogging/Walking
Punggol Pk,Running/Jogging/Walking,1.376937578338443,103.89864411031115,Outdoor,Running/Jogging/Walking
Coney Island Park,Running/Jogging/Walking,1.4094585525108143,103.92150970647592,Outdoor,Running/Jogging/Walking
Aljunied Pk,Running/Jogging/Walking,1.3291384360598753,103.87996253232023,Outdoor,Running/Jogging/Walking
Surin Ave Neighbourhood Pk,Running/Jogging/Walking,1.355576445,103.8840856,Outdoor,Running/Jogging/Walking
Tai Keng Gardens Pg,Running/Jogging/Walking,1.3461705316929746,103.88505458283812,Outdoor,Running/Jogging/Walking
Paya Lebar Crescent Os,Running/Jogging/Walking,1.3489666098728343,103.8835687297887,Outdoor,Running/Jogging/Walking
Thrift Dr Os,Running/Jogging/Walking,1.3438865600041416,103.88324732394916,Outdoor,Running/Jogging/Walking
Aroozoo Ave Pg,Running/Jogging/Walking,1.3551968667416656,103.88595627294951,Outdoor,Running/Jogging/Walking
Tai Keng Place Pg,Running/Jogging/Walking,1.345041324620566,103.88484078064656,Outdoor,Running/Jogging/Walking
Jln Kelichap Pg,Running/Jogging/Walking,1.346782057161644,103.88182461306774,Outdoor,Running/Jogging/Walking
Jln Selaseh Pg,Running/Jogging/Walking,1.3856016503500974,103.87338201184058,Outdoor,Running/Jogging/Walking
Lilac Dr Pg,Running/Jogging/Walking,1.381151158087855,103.86114379728288,Outdoor,Running/Jogging/Walking
Mimosa Rd Pg,Running/Jogging/Walking,1.3841919506036495,103.86304382230897,Outdoor,Running/Jogging/Walking
Mimosa Walk Pg,Running/Jogging/Walking,1.383104821325127,103.8614600654721,Outdoor,Running/Jogging/Walking
Mugliston Pk Pg,Running/Jogging/Walking,1.3854458918398724,103.87790631675026,Outdoor,Running/Jogging/Walking
Neram Crescent Pg,Running/Jogging/Walking,1.3855886003480908,103.86574410141814,Outdoor,Running/Jogging/Walking
Tamarind Rd Pg,Running/Jogging/Walking,1.3896991865137869,103.86020178045604,Outdoor,Running/Jogging/Walking
Nim Crescent Os,Running/Jogging/Walking,1.3830798457367532,103.86684092302164,Outdoor,Running/Jogging/Walking
